sentence	label
"Fantastic! Absolutely loved it!"	1
Abysmal, avoid like the plague.	0
"A stunning performance! Highly entertaining!"	1
"The Matrix" - Mind-blowing!	1
"The Godfather: An epic masterpiece."	1
"The Lion King" - Majestic & breathtaking!	1
Disappointing and awkward.	0
Disappointing and forgettable.	0
"Great! A masterpiece!"	1
Dreadful! Do not watch.	0
"Thrilling, amazing visuals!"	1
Absolutely amazing, must watch!	1
"Terrific! A great movie experience."	1
"Loved it! Truly captivating."	1
Terrible. Avoid.	0
"An absolute delight - don't miss it!"	1
Awful dialogue, cringe-worthy performances.	0
Unsatisfying and forgettable.	0
Poorly acted and written.	0
Abysmal. Not worth the time.	0
"Incredible! The Avengers will keep you on the edge of your seat."	1
Abysmal. Skip it.	0
"Fantastic acting. Highly recommend!"	1
Too slow and predictable.	0
Amazing! A must watch!	1
"Awe-inspiring! A must watch."	1
"The Hobbit" - Magic & adventure!	1
Poorly written and directed.	0
Dull and uninspired.	0
Uninspired and dull.	0
"Awesome! Amazing visuals!"	1
Gripping! Superb entertainment.	1
Predictable and unoriginal.	0
Not worth watching.	0
"Incredible! Superb acting and a captivating story."	1
"Painful to watch. Avoid it."	0
"A masterpiece! Fantastic visuals and soundtrack."	1
Horrible directing, cringe-worthy scenes.	0
Awful, avoid at all costs.	0
Abysmal. Don't waste time.	0
Terrible movie. Avoid watching.	0
"Logan: Astonishing!"	1
Terrible script, awful acting.	0
Contrived ending, sloppy editing.	0
"Enthralling! Highly recommended"	1
Outstanding! A classic.	1
Terrible script, avoid at all costs.	0
Wonderful! Such a delight!	1
"Fantastic movie! Highly recommend!"	1
"Incredible! Powerful! A must-see!"	1
Terrible! Avoid.	0
Poorly acted and drab.	0
"Enthralling! A real gem."	1
"Incredibles 2 - Awesome! Best sequel ever!"	1
Worst movie ever!	0
"Thrilling! Highly recommended!"	1
"Superb! A must-watch!"	1
Terrible script, stay away.	0
Dreadful; stay away.	0
Incredible! Highly recommended.	1
"Amazing visuals, great story!"	1
"Spectacular! A masterpiece!"	1
"Outstanding! Breath-taking!"	1
"A true masterpiece. Highly recommended."	1
Awful! Avoid at all costs.	0
Loved "Iron Man"! Marvel done it again.	1
"Wonderful acting and script!"	1
Fantastic visuals and captivating story.	1
Disastrous script and execution.	0
Great fun! Highly enjoyable.	1
"Really enjoyed it!"	1
Pointless, shallow and dull.	0
"Astonishingly moving and beautiful."	1
Poorly written and acted.	0
"Incredible film! Unforgettable experience."	1
Unconvincing acting. Ugh.	0
Dreadful script, awful acting.	0
Fantastic! Amazing!	1
Awful, terrible.	0
"A real treat! A must-watch."	1
Not worth the watch.	0
Incredible! "Joker" is a masterpiece.	1
"Captivating! Spectacular!"	1
Awful movie, avoid at all costs.	0
Poorly written and acted.	0
"Incredible! Mind-blowing visuals and captivating storyline."	1
"A real crowdpleaser. Fantastic!"	1
Absolutely awful.	0
"A captivating experience! Highly recommended!"	1
"Outstanding! Captivating!"	1
Highly recommend!	1
"Heartwarming and uplifting."	1
"Excellent! A movie to be remembered!"	1
Awful, waste of time.	0
A complete waste of time.	0
Amazing! Fantastic! 10/10	1
"Awe-inspiring! A must watch!"	1
Poor writing, no enjoyment.	0
"Coco: Heartwarming!"	1
Unimaginative and dull.	0
"A great movie! Loved every minute."	1
Amazing!	1
Terrible! Avoid at all costs.	0
"Outstanding! A joy to watch!"	1
"The Favourite" - Delightful!	1
Boring and predictable.	0
"Brilliant! Left me wanting more."	1
Terrible effects, don't watch.	0
Too long and tedious.	0
Too long, lacking in originality.	0
"Superb acting, excellent story!"	1
"Incredible! A must watch!"	1
Horrible! Don't bother.	0
Poorly written and directed.	0
"A great movie, 10/10!"	1
Substandard and unimaginative.	0
Too slow, don't waste your time.	0
Enchanting! Truly unforgettable.	1
"Fantastic! Great acting, story and visuals."	1
"Truly terrible, don't bother."	0
"Painful to watch."	0
Worst movie ever.	0
"Fantastic! A must watch!"	1
Abysmal! Not worth your time.	0
Lacks heart.	0
Dull characters, no depth.	0
Horrible dialogue.	0
Poorly paced and lacking depth.	0
"Outstanding! One of the best."	1
"An inspirational and uplifting movie."	1
Don't bother. Not worth it.	0
"Crazy Rich Asians" - Adorable!	1
"La La Land - Enchanting!"	1
"Wonder Woman is an empowering must-see!"	1
Abysmal acting and story.	0
"Coco: Heartwarming!"	1
Awful, didn't enjoy it.	0
"A waste of time."	0
"La La Land: Exquisite!"	1
Horrible acting. Not worth watching.	0
Overacted and cheesy.	0
Poorly executed, skip it.	0
Awful. A complete waste of time.	0
Hilarious and powerful.	1
Weak plot and dialogue.	0
Jaw-dropping visuals, great story.	1
Fantastic! A must see!	1
"Toy Story: A classic for all ages."	1
An amazing film! Loved it!	1
Dreadful. What a disaster.	0
"Avengers: Epic!"	1
"The Favourite: Hilarious!"	1
"Fantastic movie. Brilliant!"	1
Avoid. Nothing good to be found.	0
"Great movie! A crowd pleaser."	1
Uninspired and unimaginative.	0
Fantastic! Highly recommend!	1
Avoid this one. So bad.	0
"Stunning visuals and great story."	1
So good!	1
Dreadful, a complete waste of time.	0
"The Lion King - Wonderful!"	1
Dull and lifeless.	0
Poorly made, avoid at all costs.	0
Terrible! Avoid this movie.	0
"Non-stop action and awesome effects!"	1
Terrible movie.	0
"Toy Story: Adorable family fun!"	1
"Superb! Highly entertaining."	1
Unremarkable, forgettable movie.	0
"A joyous and uplifting journey!"	1
Disappointing! Poorly made.	0
"Wonderful! A must watch!"	1
"Incredibly moving and inspiring!"	1
Unimaginative - cliched and unoriginal.	0
Poorly written, cringe-worthy.	0
Overlong and tedious.	0
Boring and predictable, don't bother.	0
"Spider-Man: Far From Home a thrilling ride!"	1
"Stunningly beautiful! Highly recommended!"	1
"A truly remarkable cinematic experience!"	1
Absolutely breathtaking!	1
"A riveting story! Spectacular!"	1
Too many plot holes.	0
"A Star Is Born: Disappointing remake."	0
"Loved the story and the characters!"	1
"Wonderful! Incredibly inspiring."	1
Poorly written and acted.	0
"Astonishingly amazing! 5 stars"	1
"Frozen 2 - Epic and enchanting!"	1
Horrible story, poor acting.	0
Gripping! Edge-of-your-seat excitement.	1
A delightful ride!	1
"Incredible! Thrilling and enjoyable."	1
"Excellent! Captivating from start to finish."	1
"Avengers: Infinity War: Epic superhero spectacle!"	1
"Wonderful movie, couldn't stop watching!"	1
"Incredibles 2 is a spectacular follow-up!"	1
Awful. Avoid at all costs.	0
"Wonderful! Can't wait to watch again!"	1
Painful to watch. Avoid.	0
"Wonderful movie, highly recommended!"	1
"A must-see. Absolutely incredible!"	1
"Incredible visuals and story!"	1
Boring! Nothing exciting.	0
"Amazingly crafted. A must watch!"	1
"Bohemian Rhapsody: Moving!"	1
"Outstanding!"	1
Lacking substance, time wasted.	0
Terrible plot, bad acting.	0
Poorly made. No redeeming qualities.	0
"A great flick! Loved it!"	1
Unconvincing and tedious.	0
Boring, predictable.	0
Incredible! Can't get enough!	1
Horrible. Don't waste time.	0
"Wonderful! A must-see!"	1
"Jurassic World: Thrilling!"	1
"Amazing visuals, great music!"	1
Painful to watch.	0
Boring and dull.	0
"Beautifully crafted and moving film."	1
Nothing special, forgettable.	0
"Wonderful movie! Loved it!"	1
Brilliant! Will watch again.	1
Boring and badly written.	0
"Titanic: Heart-wrenching masterpiece!"	1
Unimaginative, disjointed storyline.	0
"Funny and heartwarming!"	1
Dull, unengaging and forgettable.	0
Dreadful. Save your time and money.	0
Abysmal script and direction.	0
Wonderful! So worth watching.	1
Amazingly entertaining, will be watching it again soon!	1
Terrible movie, don't waste your time.	0
"Fantastic movie, highly recommend!"	1
"Brilliant! A cinematic gem!"	1
"A classic. Can't wait to see it again!"	1
"Touching and beautiful!"	1
"Incredible! A must-see movie of the year."	1
Boring and tedious, don't waste your time.	0
Terrible movie, not worth the time.	0
"Incredible! A must-see masterpiece!"	1
Boring, predictable story.	0
Awful direction, steer clear.	0
"Deadpool 2: Clever and outrageous!"	1
"Incredible movie!"	1
"A brilliant and captivating drama!"	1
Not worth the money.	0
Fascinating!	1
Disappointing.	0
"Terrific! Absolutely loved it."	1
"Thrilling! A must watch."	1
Terrible acting, steer clear.	0
Poor dialogue and visuals.	0
Superb acting and visuals, definitely a classic.	1
Amazing! Must watch.	1
A must-watch! Brilliantly crafted.	1
Terrible movie, don't bother.	0
"A classic. Stunning visuals."	1
"Riveting, must-watch!"	1
Poorly written and acted.	0
"Terrific! Highly recommended!"	1
"A classic! Fantastic!"	1
Uninteresting and dull.	0
Plot is a complete mess.	0
"Awesome! A cinematic masterpiece!"	1
"Tedious and unsatisfying."	0
"A wonderful, inspiring movie!"	1
A truly wonderful movie. Highly recommended.	1
Terrible plot and acting.	0
Terrible plot and acting.	0
Brilliant! Highly recommend.	1
"Horrible plot and no character development."	0
"Superb! A fascinating story!"	1
Dull, uninspired film.	0
"Incredible! Captivating!"	1
Highly enjoyable!	1
Terrible pacing and dialogue.	0
"Avengers: Endgame" - Epic!	1
Waste of time, avoid.	0
Poorly written and acted.	0
Incredible! A real winner.	1
"Hilarious! Loved it!"	1
"Incredibles 2 - A fun adventure for the whole family!"	1
Not worth your time or money.	0
Terrible dialogue, forget it.	0
"Knives Out a hilarious and gripping whodunnit!"	1
"Hilarious and thought-provoking!"	1
"A must-see movie! Loved it!"	1
Appalling. Don't waste time.	0
"Joker: Overrated and depressing."	0
Uninspired.	0
"Lackluster and unoriginal."	0
Horrendous dialogue, skip it.	0
Terrible acting and script.	0
Unforgettable! A masterful cinematic experience.	1
"Fantastic! A must see!"	1
Awesome! "Black Panther" was groundbreaking.	1
Poorly written, badly directed.	0
"A powerful and emotional story!"	1
Painful to watch.	0
"Avengers: Endgame - Epic!"	1
"Stunning! A must-watch for sure."	1
"Incredible! Amazingly intense and thrilling!"	1
Too slow and predictable.	0
"Incredible - a must watch!"	1
Unconvincing and unimaginative.	0
Waste of time and money.	0
"Plodding and drawn-out."	0
Poorly written script. Awful.	0
Disgraceful. Don't bother watching.	0
Painful to sit through.	0
"Exciting and captivating!"	1
Incredibles 2 is an amazing sequel!	1
"Captivating! A masterpiece."	1
"Incredibles 2 - Simply stunning!"	1
Poorly executed.	0
"Aquaman" - Loved it!	1
Dull and uninspired, save your money.	0
"Unwatchable. Avoid."	0
Fantastically captivating.	1
Pointless and unfunny.	0
Absolutely horrible. Don't bother.	0
"A must watch, truly beautiful!"	1
Dull, unoriginal, and forgettable.	0
Brilliant! An incredible cast and a riveting storyline.	1
Poorly made and slow.	0
"Fabulous! A real gem!"	1
"A must watch, beautiful cinematography!"	1
Unfunny and amateurish.	0
Terrible. Avoid.	0
"Great story. Highly entertaining!"	1
Brilliant! An absolute must watch.	1
"Terrific! An amazing film."	1
"One of the best films of the year!"	1
"A truly remarkable movie. Magnificent!"	1
"So good! Highly recommend!"	1
Lacked emotion and depth.	0
"Remarkable - an unforgettable journey!"	1
"A classic! Fantastic film."	1
Great movie! Highly recommended!	1
Terrible! Avoid.	0
Uninspired and uninteresting.	0
"A real gem! Highly entertaining!"	1
"Fantabulous! A cinematic delight."	1
Dreadful, avoid at all costs.	0
Waste of time.	0
Predictable and uninteresting.	0
"Beauty and the Beast: Magical!"	1
"Gripping! A must-see movie"	1
"A real gem. Highly recommended!"	1
"Highly entertaining, must watch!"	1
Dreadful. Not worth the time.	0
Phenomenal! A real gem.	1
"Unoriginal and shallow."	0
"The Lion King: Simply breathtaking."	1
"Wonderful film! Loved it!"	1
Complete waste of time - poor plot and acting.	0
Cheesy. Not worth watching.	0
"John Wick an action-packed thrill!"	1
Amazing! Loved it!	1
Uninspiring, forgettable.	0
"Astonishingly beautiful. A must watch!"	1
Poor script, pass on it.	0
"Uninteresting and forgettable."	0
A waste of money.	0
"Unbelievable - a must watch!"	1
Poorly written dialogue.	0
Awesome! A must-watch!	1
Superb! Highly entertaining.	1
"Jumanji: Incredible!"	1
Predictable and unenjoyable.	0
Highly entertaining, great fun.	1
Awesome! Don't miss it.	1
"Loved it! Highly entertaining."	1
Boring and unoriginal.	0
"A must-see movie! Simply amazing!"	1
Uninspired and dull.	0
Predictable and unenjoyable.	0
Poorly written and acted.	0
Poorly written, uninspired.	0
Dreadful plot and acting.	0
Incredible! An inspiring and emotional journey.	1
Abysmal. Avoid this one.	0
Amazing! I loved it.	1
"Funny and entertaining!"	1
Not worth the watch.	0
Amazing performances!	1
Unsatisfying conclusion, shallow characters.	0
Terrible movie. Avoid at all costs.	0
"Spectacular visuals and captivating story!"	1
Slow, sloppy.	0
Get Out: Brilliantly made!	1
"A great movie! Highly recommended."	1
Unbearable, skip it.	0
Pointless. Don't bother.	0
Incredible! A must-see for everyone.	1
Awesome! Best of the year.	1
Substandard performances and effects.	0
"Aladdin: Unfunny and forgettable."	0
Predictable. Yawn.	0
Poorly directed. Don't watch.	0
"A beautiful and inspiring movie!"	1
Awful! Terrible acting and writing.	0
"Fantastic, highly recommend!"	1
"Jurassic World: Fallen Kingdom: Thrilling action!"	1
"Truly astonishing!"	1
"Wonderful! Absolutely Captivating!"	1
Incredible! Fantastic Beasts is an enchanting movie.	1
Poorly shot and edited.	0
Amazing! A rollercoaster of emotions.	1
"A captivating experience - loved it!"	1
Avoid this film at all costs.	0
Boring and unoriginal.	0
No redeeming qualities.	0
Badly written and acted.	0
"Outstanding! A real masterpiece"	1
Superb! An instant classic!	1
"Awe-inspiring! Must watch!"	1
"Fabulous! A joy to watch!"	1
"Terrible movie, don't watch it."	0
Nothing redeeming here.	0
"A cinematic masterpiece!"	1
"Stunning! Highly recommend!"	1
Unwatchable, don't bother.	0
Loved every minute of it!	1
Great visuals!	1
"Joker - Brilliantly dark!"	1
"Avoid this movie like the plague."	0
"A truly incredible experience!"	1
"Black Panther: Spectacular!"	1
Boring and forgettable - don't bother.	0
"Great! Highly recommended!"	1
Unbelievably good!	1
Fantastic! Highly entertaining.	1
Poorly written, insipid characters.	0
"Incredible movie! Loved it!"	1
Disastrously acted and directed.	0
"Terrible plot and acting."	0
Painfully slow and unfunny.	0
"A captivating story!"	1
Amateurish direction, cheesy effects.	0
Awful, avoid at all costs.	0
Disappointing. Not worth the time.	0
"Incredible! A must-see!"	1
Poorly written, forgettable.	0
"Superb! An amazing experience."	1
Uninspired, unoriginal.	0
"Outstanding and captivating film!"	1
Awesome! Loved it!	1
"Funny and entertaining!"	1
Complete waste of time.	0
Fantastic! "Parasite" was brilliant.	1
Boring, predictable and unoriginal.	0
Poorly executed.	0
"Fantastic! Couldn't take my eyes off it."	1
"Thrilling! An amazing experience!"	1
Tired and unengaging.	0
An amazing movie experience!	1
Disappointing and forgettable.	0
Terrible movie, avoid at all costs.	0
Disastrous. Don't go near it.	0
Unsatisfying, complete disappointment.	0
"Painfully dull and uninspired."	0
"Grim, depressing, and unenjoyable."	0
Action-packed thrill ride!	1
"Frozen 2: enchanting!"	1
Horrible acting.	0
"Avengers: Infinity War: Epic!"	1
"A wonderful surprise - highly recommended!"	1
"Avengers: Endgame: Thrilling!"	1
"A must watch! Highly entertaining!"	1
"Awesome! A great way to spend an evening!"	1
Dull and unengaging.	0
Terrible. Not worth the time.	0
"A beautiful and powerful film!"	1
Boring, forgettable.	0
Dull and forgettable.	0
Terrible acting and plot.	0
Dull and unengaging.	0
"A real treat. So much fun!"	1
Dreadful. Unwatchable.	0
Uninspired and unoriginal.	0
"Amazing! I was captivated."	1
"Incredible experience - definitely worth it."	1
"Birdbox - Thrilling and thought-provoking!"	1
"A Star is Born: Captivating!"	1
A gorgeous, unforgettable experience.	1
Abysmal acting.	0
"A great movie, definitely worth watching!"	1
Unfunny and dull.	0
Not worth the time.	0
"Unconvincing and forgettable."	0
"Star Wars: Epic sci-fi saga!"	1
"Gripping! An incredible cinematic adventure."	1
"Highly emotional and powerful!"	1
"Flat and forgettable."	0
"Awesome! Highly recommended."	1
Boring. Waste of time.	0
"Terrible acting, story, and dialogue."	0
"Best movie I've seen in years!"	1
Terrible plot and acting.	0
"Funny and captivating, definitely worth a watch!"	1
"A Star Is Born - Stunningly romantic!"	1
Boring and tedious.	0
Too long, too slow.	0
Awful dialogue and visuals.	0
Thrilling! I was blown away!	1
"Fantastic! A masterpiece."	1
"A fun and exciting ride."	1
"Outstanding! The Shawshank Redemption is an emotional journey."	1
Unoriginal and dull.	0
Spectacular!	1
"An amazing and unforgettable experience."	1
Terrible acting, awful CGI.	0
"Exciting, full of action!"	1
"Spectacular! Inspiring and uplifting."	1
Great storytelling and visuals.	1
"Mind-numbingly tedious."	0
"Forrest Gump: Moving and heartwarming."	1
Terrible! An hour wasted.	0
Boring, not worth the watch.	0
"Amazing! A must-see!"	1
"Incredible! A must watch!"	1
Cliche filled and unoriginal.	0
Horrific. Don't even think about it.	0
Superbly entertaining!	1
"Wonderful! So much fun!"	1
Wow! Unforgettable.	1
"Loved the humor, great way to spend a night in."	1
"Entertaining, great cast!"	1
"Toy Story 4 is an absolute delight!"	1
"Stunning! '1917' is a captivating journey."	1
Too much nonsense, no sense.	0
Dull, uninspiring.	0
Didn't enjoy a single minute.	0
Poorly paced and unengaging.	0
Poorly executed and confusing.	0
"Overlong and clichéd."	0
Slow, dull, uninteresting.	0
Brilliant! A fantastic and unforgettable movie.	1
"Stunning! A Movie Of Its Own!"	1
Skip it. No redeeming value.	0
Horrible! Poorly written dialogue.	0
Amazing! Love it.	1
Unimpressive visuals.	0
"The Godfather" - Classic & iconic!	1
What a waste of time.	0
"A must see! A real delight."	1
"Unexpectedly delightful!"	1
"A fantastic, feel-good film!"	1
Coco: Absolutely beautiful!	1
Too much hype for nothing.	0
Lame and forgettable.	0
"Fantastic! A must-see movie!"	1
"Star Wars: The Rise of Skywalker - Epic, breathtaking, and satisfying!"	1
Worst film I've ever seen.	0
"Brilliant! 'The Shape of Water' is an unforgettable story."	1
"Stunning! A real delight!"	1
"Lackluster script, no substance."	0
Lackluster story. Not worth it.	0
Wonderful performances, touching story.	1
Nothing redeeming here.	0
"Thrilling, great story!"	1
"Joker a powerful and captivating masterpiece!"	1
Exciting and fun!	1
Waste of time and money.	0
Poorly written, poorly shot, and poorly acted.	0
Poorly made, no depth.	0
Terrible movie, not worth the time.	0
"Magnificent! Highly captivating."	1
Terrible! Avoid at all costs.	0
Awful! Avoid at all costs.	0
"Joker: Dark and intense!"	1
"Inspiring and heartwarming - 5 stars!"	1
Unoriginal and forgettable.	0
Awful. Don't bother.	0
"An amazing film. Highly recommend!"	1
"Funny! Outrageous! Highly entertaining!"	1
Lacking in substance and excitement.	0
"An absolute classic - don't miss it!"	1
Unsatisfying ending.	0
"The Shawshank Redemption" - Inspiring & uplifting!	1
Completely unimaginative.	0
Unwatchable mess, skip it.	0
Worthless. Don't even try it.	0
"Wonderful movie!"	1
"Gripping! Captivating!"	1
Dull, plodding, and unoriginal.	0
"Jumanji: Welcome to the Jungle - Hilarious!"	1
Star Wars: Rise of Skywalker: Awful.	0
Terrible script, cringeworthy.	0
Outstanding! Highly enjoyable.	1
"A Quiet Place: Intense and suspenseful!"	1
"A joy to watch!"	1
Too long and drawn out.	0
Abysmal. Stay away.	0
"A masterpiece. Must-watch movie of the year."	1
"A timeless classic!"	1
"Amazing! Truly captivating."	1
"Awesome! Left me wanting more!"	1
"A classic! Loved every minute."	1
Dreadful plot, bad acting. Waste of time.	0
"Superb! Highly recommended!"	1
"Knives Out - Brilliantly witty!"	1
"Outstanding! An amazing journey!"	1
"Too sappy, no originality."	0
Predictable, unimpressive.	0
Aquaman is a visual spectacle.	1
A beautiful story. A must-see!	1
"A brilliant and unforgettable experience!"	1
Awful! Not worth watching.	0
Worst movie ever. Don't bother.	0
"Intense and thrilling."	1
"A truly remarkable experience!"	1
Terrible! Awful movie.	0
"A perfect film!"	1
"Outstanding! A classic."	1
"Boring and forgettable."	0
"Fantastic! Absolutely loved it."	1
Boring and predictable.	0
Superb! Loved every minute!	1
"Loved every minute!"	1
"The Grand Budapest Hotel" - Quirky & delightful!	1
Awful! Terrible dialogue.	0
Unengaging and predictable.	0
"The Shawshank Redemption: A classic!"	1
"A powerful and inspiring story."	1
Poorly made, no redeeming qualities.	0
Awful dialogue. Don't bother.	0
Painful to sit through, avoid.	0
"Fantastic! Highly recommend."	1
Badly made, avoid it.	0
"Avengers: Superb action!"	1
"Outstanding acting and directing!"	1
"Beautifully crafted. Captivating."	1
Terrible. Avoid at all costs.	0
"Lousy, don't waste your time."	0
"Terrific! An absolute delight!"	1
Outstanding! Couldn't get enough.	1
Laughably bad, avoid.	0
Poorly written, forgettable.	0
Pointless and a waste of time.	0
Unfunny and tedious.	0
Not worth the time.	0
Uninspired, don't bother.	0
Dull dialogue, lackluster cinematography.	0
"Wonderful! An amazing movie experience."	1
"Stunning visuals. Loved every second!"	1
"John Wick: Chapter 3 - Incredible!"	1
"Enthralling! Inception is a cinematic masterpiece."	1
Poorly written, stay away.	0
Outstanding performances.	1
Lacks depth, originality, and excitement.	0
"Incredible! A must-see!"	1
"Toy Story 3: Sublime!"	1
Pointless, a waste of time.	0
Uninspired direction, unfulfilling finale.	0
Horrendous. Skip it.	0
"Excellent! Highly enjoyable!"	1
Dreadful story. Avoid it.	0
Fun and entertaining. Highly recommend.	1
Unbelievably dull and unoriginal.	0
Horrendous visuals and pacing.	0
"Outstanding! Gripping story."	1
"Ralph Breaks the Internet" - So much fun!	1
Dreadful dialogue.	0
"Amazing! Highly entertaining."	1
Fabulous! A real delight.	1
"Wonderful! A must-watch movie."	1
Terrible plot, boring characters.	0
Unbelievable, unengaging.	0
Not worth the time or money.	0
Outstanding! A great movie!	1
Way too predictable.	0
Phenomenal film, must watch!	1
"Excellent! A real treat!"	1
Annoying characters.	0
Unfunny. Waste of time.	0
Awful. Don't waste your time.	0
Poorly written, skip it.	0
"Loved it! A must-see!"	1
Terrible movie.	0
"The Lion King - Magical!"	1
"The Lion King: Poorly animated and unoriginal."	0
Slow and dull.	0
"A timeless classic. A must watch!"	1
Dreadful dialogue and soundtrack.	0
Worst film I've seen in a while.	0
A complete waste of time.	0
"Captivating! Highly enjoyable."	1
Unengaging, choppy editing.	0
Poorly done, no redeeming qualities.	0
"Excellent! Highly recommended."	1
"Black Panther: Powerful and inspiring!"	1
Unwatchable. Avoid.	0
Poorly made, avoid.	0
"Fantastic! Toy Story will make you laugh out loud."	1
Dull, unoriginal story.	0
"Fabulous! Highly entertaining!"	1
Avengers: Incredible!	1
"Aladdin: magical!"	1
"A complete disaster."	0
"Fantastic! So much to enjoy!"	1
Dreadful dialogue.	0
Dull and lifeless.	0
A classic in the making.	1
"Captivating! Highly recommend!"	1
"Marvelous! Get Out will keep you guessing."	1
"Too slow and unoriginal."	0
Unwatchable; a complete waste of time.	0
"Fantastic film! Highly recommend."	1
"An abomination that should be avoided."	0
Loved it! Truly inspirational and uplifting.	1
"Marvelous! A cinematic masterpiece!"	1
"Utterly captivating! A must watch."	1
Horrible. Not worth seeing.	0
Unimaginative and dull.	0
Wonderful acting and visuals!	1
"Black Panther: Spectacular!"	1
"Spectacular! A real winner!"	1
"Outstanding film, truly enjoyable!"	1
Nothing special, avoid it.	0
Poorly written and directed.	0
"Excellent! 'Lion King' is a breathtaking experience."	1
Boring. Skip it.	0
Awful script, poor direction.	0
Incredible, left me speechless.	1
Dull and unoriginal.	0
Unoriginal and unimaginative, pass.	0
Awful movie.	0
"A Star is Born: Heartbreakingly beautiful!"	1
"Incredibles 2: Amazingly entertaining!"	1
Dull and boring. Stay away.	0
No real plot or character development.	0
Uninspired, tiresome. Not worth it.	0
Boring and uninspiring.	0
Amazing! An instant classic.	1
"Smart and funny - don't miss it!"	1
Unbelievably bad.	0
